CGNDB ID,Geographical Name,Generic Term,Latitude,Longitude,Province - Territory
BAEYO,St-Timothée,Locality,46.4166670,-64.0666670,Prince Edward Island
BACKE,St. Andrews,Locality,46.3833930,-62.8531260,Prince Edward Island
BADFO,St. Andrews Creek,Creek,46.3765540,-62.8518020,Prince Edward Island
BACKM,St. Ann,Locality,46.4294180,-63.3991870,Prince Edward Island
BACKN,St. Anthony,Locality,46.7368970,-64.1746300,Prince Edward Island
BACKQ,St. Catherines,Locality,46.3703760,-62.2105200,Prince Edward Island
BACKP,St. Catherines,Locality,46.1920060,-63.2973790,Prince Edward Island
BACKR,St. Charles,Locality,46.3941020,-62.4251220,Prince Edward Island
BADFQ,St. Chrysostome,Locality,46.5088850,-64.0995950,Prince Edward Island
BACKS,St. Dunstan's,Former Railway Point,46.2569440,-63.1375000,Prince Edward Island
BACKT,St. Edward,Locality,46.8790480,-64.1825330,Prince Edward Island
BACKU,St. Eleanors,Locality,46.4213890,-63.8111110,Prince Edward Island
BAEHD,St. Felix,Community,46.9267240,-64.0228140,Prince Edward Island
BACKW,St. Felix,Locality,46.9333330,-64.0166670,Prince Edward Island
BACKX,St. Georges,Locality,46.2612370,-62.4854480,Prince Edward Island
BACLD,St. Lawrence,Locality,46.8463490,-64.2131100,Prince Edward Island
BACLE,St. Louis,Community,46.8860320,-64.1443460,Prince Edward Island
BACLF,St. Margarets,Locality,46.4553560,-62.3823390,Prince Edward Island
BADFW,St. Marys Bay,Bay,46.1276540,-62.4845830,Prince Edward Island
BADFX,St. Marys Road,Locality,46.0832280,-62.6145690,Prince Edward Island
BAEXF,St. Nicholas,Community,46.4194440,-63.9552780,Prince Edward Island
BACLJ,St. Patrick Road,Locality,46.3299640,-62.7767590,Prince Edward Island
BACLK,St. Patricks,Locality,46.3928290,-63.3848990,Prince Edward Island
BACLL,St. Peter and St. Paul,Locality,46.9176330,-64.0702890,Prince Edward Island
BAEMV,St. Peters Bay,Community,46.4177670,-62.5817690,Prince Edward Island
BACLO,St. Peters Bay,Bay,46.4298060,-62.6624000,Prince Edward Island
BACLP,St. Peters Harbour,Locality,46.4333330,-62.7500000,Prince Edward Island
BADGD,St. Peters Island,Island,46.1201440,-63.1845090,Prince Edward Island
BADGH,St. Peters Island Bar,Bar,46.1295030,-63.2060030,Prince Edward Island
BACLR,St. Peters Lake,Lake,46.4311210,-62.7679900,Prince Edward Island
BACLT,St. Peters River,River,46.4152680,-62.5813200,Prince Edward Island
BADGE,St. Peters Road,Road,46.1500000,-63.1666670,Prince Edward Island
BADGF,St. Peters Shoals,Shoals,46.1000000,-63.2000000,Prince Edward Island
BADGG,St. Peters Spit,Spit,46.1268800,-63.1760790,Prince Edward Island
BACLX,St. Roch,Locality,46.9119770,-64.0581610,Prince Edward Island
BACLY,St. Teresa,Locality,46.2818880,-62.7430360,Prince Edward Island
BACKD,Stanchel,Locality,46.3196040,-63.4654530,Prince Edward Island
BACKF,Stanhope,Locality,46.4067730,-63.1075680,Prince Edward Island
BACKG,Stanhope Bayshore,Locality,46.4166670,-63.1166670,Prince Edward Island
BACKH,Stanhope Beach,Beach,46.4333330,-63.1500000,Prince Edward Island
