CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
KAAEG,Ann Gulch,Undetermined,,Gulch,Terrain Feature,VALL,0cf7369c849c20c3cd31234a1466ab2f,64.0400000,-135.8283333,,Yukon,50000,1960-01-21,Yukon-Department of Tourism and Culture
KAAED,Annapolis Glacier,Undetermined,,Glacier,Ice and Snow Feature,GLAC,233c2087d05511d892e2080020a0f4c9,60.9625000,-140.5000000,,Yukon,250000,1981-02-03,Yukon-Department of Tourism and Culture
KAAEE,Anne Creek,Undetermined,,Creek,Water Feature,RIV,23471d08d05511d892e2080020a0f4c9,67.9021146,-136.8904073,,Yukon,250000,1981-10-09,Yukon-Department of Tourism and Culture
KAAEF,Annett Creek,Undetermined,,Creek,Water Feature,RIV,0c6ee0df849c20c3fea658c3d9e88f86,68.5803801,-137.8984056,,Yukon,250000,1961-07-05,Yukon-Department of Tourism and Culture
KAAEH,Annie Lake,Undetermined,,Lake,Water Feature,LAKE,25e319c7d05411d892e2080020a0f4c9,60.3236111,-134.9850000,,Yukon,250000,1956-03-01,Yukon-Department of Tourism and Culture
KAHWK,Annie Ned Creek,Undetermined,,Creek,Water Feature,RIV,0c7041b3849c20c3c5d7798ad81849a1,60.8101915,-135.9299744,,Yukon,50000,1988-01-11,Yukon-Department of Tourism and Culture
KAAEJ,Anticline Mountain,Undetermined,,Mountain,Terrain Feature,MTN,25f9fd29d05411d892e2080020a0f4c9,61.3544444,-135.5919444,,Yukon,1000000,1936-07-15,Yukon-Department of Tourism and Culture
KAAEK,Antimony Creek,Undetermined,,Creek,Water Feature,RIV,25ef00a8d05411d892e2080020a0f4c9,60.1938463,-135.3086284,,Yukon,50000,1980-07-29,Yukon-Department of Tourism and Culture
KAAEL,Antimony Creek,Undetermined,,Creek,Water Feature,RIV,260520bad05411d892e2080020a0f4c9,64.1576649,-138.5209848,,Yukon,250000,1981-03-30,Yukon-Department of Tourism and Culture
KAAEM,Antimony Mountain,Undetermined,,Mountain,Terrain Feature,MTN,7b0cc597c6be11d892e2080020a0f4c9,64.2680556,-138.2208333,,Yukon,250000,1979-09-04,Yukon-Department of Tourism and Culture
KAAEO,Antler Lake,Undetermined,,Lake,Water Feature,LAKE,0c6ee121849c20c3b2ad27981c28960e,64.8844444,-138.3016667,,Yukon,250000,1979-09-12,Yukon-Department of Tourism and Culture
KAAEP,Antone Creek,Undetermined,,Creek,Water Feature,RIV,26101d3bd05411d892e2080020a0f4c9,60.1023780,-128.3822785,,Yukon,250000,1980-07-14,Yukon-Department of Tourism and Culture
KAAER,Anvil Creek,Undetermined,,Creek,Water Feature,RIV,261b19bcd05411d892e2080020a0f4c9,62.4441667,-134.1286111,,Yukon,250000,1951-03-07,Yukon-Department of Tourism and Culture
KAAET,Anvil Lake,Undetermined,,Lake,Water Feature,LAKE,0c6ee162849c20c3f21bf2b69ef213f4,62.5733333,-133.6341667,,Yukon,250000,1979-03-09,Yukon-Department of Tourism and Culture
KAAEW,Anvil Range,Undetermined,,Range,Terrain Feature,MTN,0680656cc6ce11d892e2080020a0f4c9,62.4181453,-133.2968236,,Yukon,1000000,1951-04-05,Yukon-Department of Tourism and Culture
